Campaign,Negative keyword,Match type
forgespace_br_en_visibility_v3,job,Broad [negative]
forgespace_br_en_visibility_v3,jobs,Broad [negative]
forgespace_br_en_visibility_v3,salary,Broad [negative]
forgespace_br_en_visibility_v3,internship,Broad [negative]
forgespace_br_en_visibility_v3,vaga,Broad [negative]
forgespace_br_en_visibility_v3,vagas,Broad [negative]
forgespace_br_en_visibility_v3,salario,Broad [negative]
forgespace_br_en_visibility_v3,estagio,Broad [negative]
forgespace_br_en_visibility_v3,curso,Broad [negative]
forgespace_br_en_visibility_v3,cursos,Broad [negative]
forgespace_br_en_visibility_v3,tutorial,Broad [negative]
forgespace_br_en_visibility_v3,bootcamp,Broad [negative]
forgespace_br_en_visibility_v3,certification,Broad [negative]
forgespace_br_en_visibility_v3,certificado,Broad [negative]
forgespace_br_en_visibility_v3,baixar,Broad [negative]
forgespace_br_en_visibility_v3,apk,Broad [negative]
forgespace_br_en_visibility_v3,template free,Phrase [negative]
forgespace_br_en_visibility_v3,logo,Broad [negative]
forgespace_br_en_visibility_v3,canva,Broad [negative]
forgespace_br_en_visibility_v3,ppt,Broad [negative]
forgespace_br_en_visibility_v3,slides,Broad [negative]
forgespace_br_en_visibility_v3,pdf,Broad [negative]
forgespace_br_en_visibility_v3,cheat sheet,Phrase [negative]
forgespace_br_en_visibility_v3,meaning,Broad [negative]
forgespace_br_en_visibility_v3,definition,Broad [negative]
forgespace_br_en_visibility_v3,minecraft,Broad [negative]
forgespace_br_en_visibility_v3,crack,Broad [negative]
forgespace_br_en_visibility_v3,hack,Broad [negative]
forgespace_br_en_visibility_v3,concert,Broad [negative]
forgespace_br_en_visibility_v3,ticket,Broad [negative]
forgespace_br_en_visibility_v3,tickets,Broad [negative]
forgespace_br_en_visibility_v3,lyrics,Broad [negative]
forgespace_br_en_visibility_v3,theater,Broad [negative]
forgespace_br_en_visibility_v3,backstage pass,Phrase [negative]
forgespace_br_en_visibility_v3,pitch deck,Phrase [negative]
forgespace_br_en_visibility_v3,investor,Broad [negative]
forgespace_br_en_visibility_v3,funding,Broad [negative]
forgespace_br_en_visibility_v3,venture capital,Phrase [negative]
forgespace_br_en_visibility_v3,seed round,Phrase [negative]
forgespace_br_en_visibility_v3,series a,Phrase [negative]
forgespace_br_en_visibility_v3,github actions,Phrase [negative]
forgespace_br_en_visibility_v3,github copilot,Phrase [negative]
forgespace_br_en_visibility_v3,copilot,Broad [negative]
forgespace_br_en_visibility_v3,vercel,Broad [negative]
forgespace_br_en_visibility_v3,netlify,Broad [negative]
forgespace_br_en_visibility_v3,heroku,Broad [negative]
forgespace_br_en_visibility_v3,free template,Phrase [negative]
forgespace_br_en_visibility_v3,free tool,Phrase [negative]
